50|[-750, 30972, 0]|[0, 0, 90]|[19, 236, 113]
51|[-750, 30810, 0]|[0, 0, 90]|[19, 236, 109]
52|[-750, 30645, 0]|[0, 0, 90]|[19, 236, 124]
53|[-750, 30480, 0]|[0, 0, 90]|[19, 236, 135]
54|[-750, 30315, 0]|[0, 0, 90]|[19, 236, 149]
55|[-750, 30150, 0]|[0, 0, 90]|[19, 236, 160]
56|[-750, 29985, 0]|[0, 0, 90]|[19, 236, 171]
57|[-750, 29820, 0]|[0, 0, 90]|[19, 236, 182]
58|[-750, 29655, 0]|[0, 0, 90]|[19, 236, 193]
59|[-750, 29490, 0]|[0, 0, 90]|[19, 236, 203]
60|[-750, 29325, 0]|[0, 0, 90]|[19, 236, 211]
61|[-750, 29160, 0]|[0, 0, 90]|[19, 236, 221]
62|[-750, 28995, 0]|[0, 0, 90]|[19, 236, 229]
63|[-750, 28830, 0]|[0, 0, 90]|[19, 236, 229]
64|[-750, 28666, 0]|[0, 0, 90]|[19, 236, 229]
65|[-750, 28501, 0]|[0, 0, 90]|[19, 236, 229]
66|[-750, 28336, 0]|[0, 0, 90]|[19, 236, 229]
67|[-750, 28171, 0]|[0, 0, 90]|[19, 236, 229]
68|[-750, 28006, 0]|[0, 0, 90]|[19, 236, 229]
69|[-750, 27841, 0]|[0, 0, 90]|[19, 236, 229]
70|[-750, 27676, 0]|[0, 0, 90]|[19, 236, 229]
71|[-750, 27511, 0]|[0, 0, 90]|[19, 236, 229]
72|[-750, 27346, 0]|[0, 0, 90]|[19, 236, 229]
73|[-750, 27181, 0]|[0, 0, 90]|[19, 236, 229]
74|[-750, 27016, 0]|[0, 0, 90]|[19, 236, 229]
75|[-750, 26851, 0]|[0, 0, 90]|[19, 236, 229]
76|[-750, 26686, 0]|[0, 0, 90]|[19, 236, 229]
77|[-750, 26521, 0]|[0, 0, 90]|[19, 236, 229]
78|[-750, 26357, 0]|[0, 0, 90]|[19, 236, 229]
79|[-750, 26192, 0]|[0, 0, 90]|[19, 236, 229]
80|[-750, 26027, 0]|[0, 0, 90]|[19, 236, 229]
81|[-750, 25862, 0]|[0, 0, 90]|[19, 236, 229]
82|[-750, 25697, 0]|[0, 0, 90]|[19, 236, 229]
83|[-750, 25532, 0]|[0, 0, 90]|[19, 236, 229]
84|[-750, 25367, 0]|[0, 0, 90]|[19, 236, 229]
85|[-750, 25202, 0]|[0, 0, 90]|[19, 236, 229]
86|[-750, 25037, 0]|[0, 0, 90]|[19, 236, 229]
87|[-750, 24872, 0]|[0, 0, 90]|[19, 236, 229]
88|[-750, 24707, 0]|[0, 0, 90]|[19, 236, 229]
89|[-750, 24542, 0]|[0, 0, 90]|[19, 236, 229]
90|[-750, 24377, 0]|[0, 0, 90]|[19, 236, 229]
91|[-750, 24213, 0]|[0, 0, 90]|[19, 236, 229]
92|[-750, 24048, 0]|[0, 0, 90]|[19, 236, 229]
93|[-750, 23883, 0]|[0, 0, 90]|[19, 236, 229]
94|[-750, 23718, 0]|[0, 0, 90]|[19, 236, 229]
95|[-750, 23553, 0]|[0, 0, 90]|[19, 236, 229]
96|[-750, 23388, 0]|[0, 0, 90]|[19, 236, 229]
97|[-750, 23223, 0]|[0, 0, 90]|[19, 236, 229]
98|[-750, 23058, 0]|[0, 0, 90]|[19, 236, 229]
99|[-750, 22893, 0]|[0, 0, 90]|[19, 236, 229]
100|[-750, 22728, 0]|[0, 0, 90]|[19, 236, 229]
101|[-750, 22563, 0]|[0, 0, 90]|[19, 236, 229]
102|[-750, 22398, 0]|[0, 0, 90]|[19, 236, 229]
103|[-750, 22233, 0]|[0, 0, 90]|[19, 236, 229]
104|[-750, 22068, 0]|[0, 0, 90]|[19, 236, 229]
105|[-750, 21904, 0]|[0, 0, 90]|[19, 236, 229]
106|[-750, 21739, 0]|[0, 0, 90]|[19, 236, 229]
107|[-750, 21574, 0]|[0, 0, 90]|[19, 236, 229]
108|[-750, 21409, 0]|[0, 0, 90]|[19, 236, 229]
109|[-750, 21244, 0]|[0, 0, 90]|[19, 236, 229]
110|[-750, 21079, 0]|[0, 0, 90]|[19, 236, 229]
111|[-750, 20914, 0]|[0, 0, 90]|[19, 236, 229]
112|[-750, 20749, 0]|[0, 0, 90]|[19, 236, 229]
113|[-750, 20584, 0]|[0, 0, 90]|[19, 236, 229]
114|[-750, 20419, 0]|[0, 0, 90]|[19, 236, 229]
115|[-750, 20254, 0]|[0, 0, 90]|[19, 236, 229]
116|[-750, 20089, 0]|[0, 0, 90]|[19, 236, 229]
117|[-750, 19924, 0]|[0, 0, 90]|[19, 236, 229]
118|[-750, 19760, 0]|[0, 0, 90]|[19, 236, 229]
119|[-750, 19595, 0]|[0, 0, 90]|[19, 236, 229]
120|[-750, 19430, 0]|[0, 0, 90]|[19, 236, 229]
121|[-750, 19265, 0]|[0, 0, 90]|[19, 236, 229]
122|[-750, 19100, 0]|[0, 0, 90]|[19, 236, 229]
123|[-750, 18935, 0]|[0, 0, 90]|[19, 236, 229]
124|[-750, 18770, 0]|[0, 0, 90]|[19, 236, 229]
125|[-750, 18605, 0]|[0, 0, 90]|[19, 236, 229]
126|[-750, 18440, 0]|[0, 0, 90]|[19, 236, 229]
127|[-750, 18275, 0]|[0, 0, 90]|[19, 236, 229]
128|[-750, 18110, 0]|[0, 0, 90]|[19, 236, 229]
129|[-750, 17945, 0]|[0, 0, 90]|[19, 236, 229]
130|[-750, 17780, 0]|[0, 0, 90]|[19, 236, 229]
131|[-750, 17615, 0]|[0, 0, 90]|[19, 236, 229]
132|[-750, 17451, 0]|[0, 0, 90]|[19, 236, 229]
133|[-750, 17286, 0]|[0, 0, 90]|[19, 236, 229]
134|[-750, 17121, 0]|[0, 0, 90]|[19, 236, 229]
135|[-750, 16956, 0]|[0, 0, 90]|[19, 236, 229]
136|[-750, 16791, 0]|[0, 0, 90]|[19, 236, 229]
137|[-750, 16626, 0]|[0, 0, 90]|[19, 236, 229]
138|[-750, 16461, 0]|[0, 0, 90]|[19, 236, 229]
139|[-750, 16296, 0]|[0, 0, 90]|[19, 236, 229]
140|[-750, 16131, 0]|[0, 0, 90]|[19, 236, 229]
141|[-750, 15966, 0]|[0, 0, 90]|[19, 236, 229]
142|[-750, 15801, 0]|[0, 0, 90]|[19, 236, 229]
143|[-750, 15636, 0]|[0, 0, 90]|[19, 236, 229]
144|[-750, 15471, 0]|[0, 0, 90]|[19, 236, 229]
145|[-750, 15306, 0]|[0, 0, 90]|[19, 236, 229]
146|[-750, 15142, 0]|[0, 0, 90]|[19, 236, 229]
147|[-750, 14977, 0]|[0, 0, 90]|[19, 236, 229]
148|[-750, 14812, 0]|[0, 0, 90]|[19, 236, 229]
149|[-750, 14647, 0]|[0, 0, 90]|[19, 236, 229]
150|[-750, 14482, 0]|[0, 0, 90]|[19, 236, 229]
151|[-750, 14317, 0]|[0, 0, 90]|[19, 236, 229]
152|[-750, 14152, 0]|[0, 0, 90]|[19, 236, 229]
153|[-750, 13987, 0]|[0, 0, 90]|[19, 236, 229]
154|[-750, 13822, 0]|[0, 0, 90]|[19, 236, 229]
155|[-750, 13657, 0]|[0, 0, 90]|[19, 236, 229]
156|[-750, 13492, 0]|[0, 0, 90]|[19, 236, 229]
157|[-750, 13327, 0]|[0, 0, 90]|[19, 236, 229]
158|[-750, 13162, 0]|[0, 0, 90]|[19, 236, 229]
159|[-750, 12998, 0]|[0, 0, 90]|[19, 236, 229]
