61|[750, -30990, 0]|[0, 0, -90]|[19, 236, 109]
62|[750, -30827, 0]|[0, 0, -90]|[19, 236, 113]
63|[750, -30661, 0]|[0, 0, -90]|[19, 236, 109]
64|[750, -30493, 0]|[0, 0, -90]|[19, 236, 109]
65|[750, -30321, 0]|[0, 0, -90]|[19, 236, 109]
66|[750, -30147, 0]|[0, 0, -90]|[19, 236, 113]
67|[750, -29970, 0]|[0, 0, -90]|[19, 236, 120]
68|[750, -29793, 0]|[0, 0, -90]|[19, 236, 131]
69|[750, -29615, 0]|[0, 0, -90]|[19, 236, 146]
70|[750, -29438, 0]|[0, 0, -90]|[19, 236, 156]
71|[750, -29261, 0]|[0, 0, -90]|[19, 236, 167]
72|[750, -29084, 0]|[0, 0, -90]|[19, 236, 178]
73|[750, -28907, 0]|[0, 0, -90]|[19, 236, 182]
74|[750, -28730, 0]|[0, 0, -90]|[19, 236, 182]
75|[750, -28553, 0]|[0, 0, -90]|[19, 236, 182]
76|[750, -28376, 0]|[0, 0, -90]|[19, 236, 182]
77|[750, -28199, 0]|[0, 0, -90]|[19, 236, 182]
78|[750, -28022, 0]|[0, 0, -90]|[19, 236, 182]
79|[750, -27844, 0]|[0, 0, -90]|[19, 236, 182]
80|[750, -27667, 0]|[0, 0, -90]|[19, 236, 182]
81|[750, -27490, 0]|[0, 0, -90]|[19, 236, 182]
82|[750, -27313, 0]|[0, 0, -90]|[19, 236, 182]
83|[750, -27136, 0]|[0, 0, -90]|[19, 236, 182]
84|[750, -26959, 0]|[0, 0, -90]|[19, 236, 182]
85|[750, -26782, 0]|[0, 0, -90]|[19, 236, 182]
86|[750, -26605, 0]|[0, 0, -90]|[19, 236, 182]
87|[750, -26428, 0]|[0, 0, -90]|[19, 236, 182]
88|[750, -26250, 0]|[0, 0, -90]|[19, 236, 182]
89|[750, -26073, 0]|[0, 0, -90]|[19, 236, 182]
90|[750, -25896, 0]|[0, 0, -90]|[19, 236, 182]
91|[750, -25719, 0]|[0, 0, -90]|[19, 236, 182]
92|[750, -25542, 0]|[0, 0, -90]|[19, 236, 182]
93|[750, -25365, 0]|[0, 0, -90]|[19, 236, 182]
94|[750, -25188, 0]|[0, 0, -90]|[19, 236, 182]
95|[750, -25011, 0]|[0, 0, -90]|[19, 236, 182]
96|[750, -24834, 0]|[0, 0, -90]|[19, 236, 182]
97|[750, -24656, 0]|[0, 0, -90]|[19, 236, 182]
98|[750, -24479, 0]|[0, 0, -90]|[19, 236, 182]
99|[750, -24302, 0]|[0, 0, -90]|[19, 236, 182]
100|[750, -24125, 0]|[0, 0, -90]|[19, 236, 182]
101|[750, -23948, 0]|[0, 0, -90]|[19, 236, 182]
102|[750, -23771, 0]|[0, 0, -90]|[19, 236, 182]
103|[750, -23594, 0]|[0, 0, -90]|[19, 236, 182]
104|[750, -23417, 0]|[0, 0, -90]|[19, 236, 182]
105|[750, -23240, 0]|[0, 0, -90]|[19, 236, 182]
106|[750, -23063, 0]|[0, 0, -90]|[19, 236, 182]
107|[750, -22885, 0]|[0, 0, -90]|[19, 236, 182]
108|[750, -22708, 0]|[0, 0, -90]|[19, 236, 182]
109|[750, -22531, 0]|[0, 0, -90]|[19, 236, 182]
110|[750, -22354, 0]|[0, 0, -90]|[19, 236, 182]
111|[750, -22177, 0]|[0, 0, -90]|[19, 236, 182]
112|[750, -22000, 0]|[0, 0, -90]|[19, 236, 182]
113|[750, -21823, 0]|[0, 0, -90]|[19, 236, 182]
114|[750, -21646, 0]|[0, 0, -90]|[19, 236, 182]
115|[750, -21469, 0]|[0, 0, -90]|[19, 236, 182]
116|[750, -21291, 0]|[0, 0, -90]|[19, 236, 182]
117|[750, -21114, 0]|[0, 0, -90]|[19, 236, 182]
118|[750, -20937, 0]|[0, 0, -90]|[19, 236, 182]
119|[750, -20760, 0]|[0, 0, -90]|[19, 236, 182]
120|[750, -20583, 0]|[0, 0, -90]|[19, 236, 182]
121|[750, -20406, 0]|[0, 0, -90]|[19, 236, 182]
122|[750, -20229, 0]|[0, 0, -90]|[19, 236, 182]
123|[750, -20052, 0]|[0, 0, -90]|[19, 236, 182]
124|[750, -19875, 0]|[0, 0, -90]|[19, 236, 182]
125|[750, -19697, 0]|[0, 0, -90]|[19, 236, 182]
126|[750, -19520, 0]|[0, 0, -90]|[19, 236, 182]
127|[750, -19343, 0]|[0, 0, -90]|[19, 236, 182]
128|[750, -19166, 0]|[0, 0, -90]|[19, 236, 182]
129|[750, -18989, 0]|[0, 0, -90]|[19, 236, 182]
130|[750, -18812, 0]|[0, 0, -90]|[19, 236, 182]
131|[750, -18635, 0]|[0, 0, -90]|[19, 236, 182]
132|[750, -18458, 0]|[0, 0, -90]|[19, 236, 182]
133|[750, -18281, 0]|[0, 0, -90]|[19, 236, 182]
134|[750, -18104, 0]|[0, 0, -90]|[19, 236, 182]
135|[750, -17926, 0]|[0, 0, -90]|[19, 236, 182]
136|[750, -17749, 0]|[0, 0, -90]|[19, 236, 182]
137|[750, -17572, 0]|[0, 0, -90]|[19, 236, 182]
138|[750, -17395, 0]|[0, 0, -90]|[19, 236, 182]
139|[750, -17218, 0]|[0, 0, -90]|[19, 236, 182]
140|[750, -17041, 0]|[0, 0, -90]|[19, 236, 182]
141|[750, -16864, 0]|[0, 0, -90]|[19, 236, 182]
142|[750, -16687, 0]|[0, 0, -90]|[19, 236, 182]
143|[750, -16510, 0]|[0, 0, -90]|[19, 236, 182]
144|[750, -16332, 0]|[0, 0, -90]|[19, 236, 182]
145|[750, -16155, 0]|[0, 0, -90]|[19, 236, 182]
146|[750, -15978, 0]|[0, 0, -90]|[19, 236, 182]
147|[750, -15801, 0]|[0, 0, -90]|[19, 236, 182]
148|[750, -15624, 0]|[0, 0, -90]|[19, 236, 182]
149|[750, -15447, 0]|[0, 0, -90]|[19, 236, 182]
150|[750, -15270, 0]|[0, 0, -90]|[19, 236, 182]
151|[750, -15093, 0]|[0, 0, -90]|[19, 236, 182]
152|[750, -14916, 0]|[0, 0, -90]|[19, 236, 182]
153|[750, -14738, 0]|[0, 0, -90]|[19, 236, 182]
154|[750, -14561, 0]|[0, 0, -90]|[19, 236, 182]
155|[750, -14384, 0]|[0, 0, -90]|[19, 236, 182]
156|[750, -14207, 0]|[0, 0, -90]|[19, 236, 182]
157|[750, -14030, 0]|[0, 0, -90]|[19, 236, 182]
158|[750, -13853, 0]|[0, 0, -90]|[19, 236, 182]
159|[750, -13676, 0]|[0, 0, -90]|[19, 236, 182]
160|[750, -13499, 0]|[0, 0, -90]|[19, 236, 182]
161|[750, -13322, 0]|[0, 0, -90]|[19, 236, 182]
162|[750, -13145, 0]|[0, 0, -90]|[19, 236, 182]
163|[750, -12967, 0]|[0, 0, -90]|[19, 236, 182]
164|[750, -12790, 0]|[0, 0, -90]|[19, 236, 182]
165|[750, -12613, 0]|[0, 0, -90]|[19, 236, 182]
166|[750, -12436, 0]|[0, 0, -90]|[19, 236, 182]
167|[750, -12259, 0]|[0, 0, -90]|[19, 236, 182]
168|[750, -12082, 0]|[0, 0, -90]|[19, 236, 182]
169|[750, -11905, 0]|[0, 0, -90]|[19, 236, 182]
170|[750, -11728, 0]|[0, 0, -90]|[19, 236, 182]
171|[750, -11551, 0]|[0, 0, -90]|[19, 236, 182]
172|[750, -11373, 0]|[0, 0, -90]|[19, 236, 182]
173|[750, -11196, 0]|[0, 0, -90]|[19, 236, 182]
174|[750, -11019, 0]|[0, 0, -90]|[19, 236, 182]
175|[750, -10842, 0]|[0, 0, -90]|[19, 236, 182]
176|[750, -10665, 0]|[0, 0, -90]|[19, 236, 182]
177|[750, -10488, 0]|[0, 0, -90]|[19, 236, 182]
178|[750, -10311, 0]|[0, 0, -90]|[19, 236, 182]
179|[750, -10134, 0]|[0, 0, -90]|[19, 236, 182]
180|[750, -9957, 0]|[0, 0, -90]|[19, 236, 182]
181|[750, -9779, 0]|[0, 0, -90]|[19, 236, 182]
182|[750, -9602, 0]|[0, 0, -90]|[19, 236, 182]
183|[750, -9425, 0]|[0, 0, -90]|[19, 236, 182]
184|[750, -9248, 0]|[0, 0, -90]|[19, 236, 182]
185|[750, -9071, 0]|[0, 0, -90]|[19, 236, 182]
186|[750, -8894, 0]|[0, 0, -90]|[19, 236, 182]
187|[750, -8717, 0]|[0, 0, -90]|[19, 236, 182]
188|[750, -8540, 0]|[0, 0, -90]|[19, 236, 182]
189|[750, -8363, 0]|[0, 0, -90]|[19, 236, 182]
190|[750, -8186, 0]|[0, 0, -90]|[19, 236, 182]
191|[750, -8008, 0]|[0, 0, -90]|[19, 236, 182]
192|[750, -7831, 0]|[0, 0, -90]|[19, 236, 182]
193|[750, -7654, 0]|[0, 0, -90]|[19, 236, 182]
194|[750, -7477, 0]|[0, 0, -90]|[19, 236, 182]
