36|[-30994, -750, 0]|[0, 0, -0]|[19, 236, 109]
37|[-30832, -750, 0]|[0, 0, -0]|[19, 236, 109]
38|[-30666, -750, 0]|[0, 0, -0]|[19, 236, 109]
39|[-30498, -750, 0]|[0, 0, -0]|[19, 236, 109]
40|[-30326, -750, 0]|[0, 0, -0]|[19, 236, 109]
41|[-30152, -750, 0]|[0, 0, -0]|[19, 236, 109]
42|[-29974, -750, 0]|[0, 0, -0]|[19, 236, 109]
43|[-29794, -750, 0]|[0, 0, -0]|[19, 236, 109]
44|[-29610, -750, 0]|[0, 0, -0]|[19, 236, 113]
45|[-29426, -750, 0]|[0, 0, -0]|[19, 236, 124]
46|[-29241, -750, 0]|[0, 0, -0]|[19, 236, 135]
47|[-29056, -750, 0]|[0, 0, -0]|[19, 236, 149]
48|[-28872, -750, 0]|[0, 0, -0]|[19, 236, 149]
49|[-28687, -750, 0]|[0, 0, -0]|[19, 236, 149]
50|[-28502, -750, 0]|[0, 0, -0]|[19, 236, 149]
51|[-28317, -750, 0]|[0, 0, -0]|[19, 236, 149]
52|[-28133, -750, 0]|[0, 0, -0]|[19, 236, 149]
53|[-27948, -750, 0]|[0, 0, -0]|[19, 236, 149]
54|[-27763, -750, 0]|[0, 0, -0]|[19, 236, 149]
55|[-27578, -750, 0]|[0, 0, -0]|[19, 236, 149]
56|[-27394, -750, 0]|[0, 0, -0]|[19, 236, 149]
57|[-27209, -750, 0]|[0, 0, -0]|[19, 236, 149]
58|[-27024, -750, 0]|[0, 0, -0]|[19, 236, 149]
59|[-26839, -750, 0]|[0, 0, -0]|[19, 236, 149]
60|[-26655, -750, 0]|[0, 0, -0]|[19, 236, 149]
61|[-26470, -750, 0]|[0, 0, -0]|[19, 236, 149]
62|[-26285, -750, 0]|[0, 0, -0]|[19, 236, 149]
63|[-26101, -750, 0]|[0, 0, -0]|[19, 236, 149]
64|[-25916, -750, 0]|[0, 0, -0]|[19, 236, 149]
65|[-25731, -750, 0]|[0, 0, -0]|[19, 236, 149]
66|[-25546, -750, 0]|[0, 0, -0]|[19, 236, 149]
67|[-25362, -750, 0]|[0, 0, -0]|[19, 236, 149]
68|[-25177, -750, 0]|[0, 0, -0]|[19, 236, 149]
69|[-24992, -750, 0]|[0, 0, -0]|[19, 236, 149]
70|[-24807, -750, 0]|[0, 0, -0]|[19, 236, 149]
71|[-24623, -750, 0]|[0, 0, -0]|[19, 236, 149]
72|[-24438, -750, 0]|[0, 0, -0]|[19, 236, 149]
73|[-24253, -750, 0]|[0, 0, -0]|[19, 236, 149]
74|[-24068, -750, 0]|[0, 0, -0]|[19, 236, 149]
75|[-23884, -750, 0]|[0, 0, -0]|[19, 236, 149]
76|[-23699, -750, 0]|[0, 0, -0]|[19, 236, 149]
77|[-23514, -750, 0]|[0, 0, -0]|[19, 236, 149]
78|[-23330, -750, 0]|[0, 0, -0]|[19, 236, 149]
79|[-23145, -750, 0]|[0, 0, -0]|[19, 236, 149]
80|[-22960, -750, 0]|[0, 0, -0]|[19, 236, 149]
81|[-22775, -750, 0]|[0, 0, -0]|[19, 236, 149]
82|[-22591, -750, 0]|[0, 0, -0]|[19, 236, 149]
83|[-22406, -750, 0]|[0, 0, -0]|[19, 236, 149]
84|[-22221, -750, 0]|[0, 0, -0]|[19, 236, 149]
85|[-22036, -750, 0]|[0, 0, -0]|[19, 236, 149]
86|[-21852, -750, 0]|[0, 0, -0]|[19, 236, 149]
87|[-21667, -750, 0]|[0, 0, -0]|[19, 236, 149]
88|[-21482, -750, 0]|[0, 0, -0]|[19, 236, 149]
89|[-21298, -750, 0]|[0, 0, -0]|[19, 236, 149]
90|[-21113, -750, 0]|[0, 0, -0]|[19, 236, 149]
91|[-20928, -750, 0]|[0, 0, -0]|[19, 236, 149]
92|[-20743, -750, 0]|[0, 0, -0]|[19, 236, 149]
93|[-20559, -750, 0]|[0, 0, -0]|[19, 236, 149]
94|[-20374, -750, 0]|[0, 0, -0]|[19, 236, 149]
95|[-20189, -750, 0]|[0, 0, -0]|[19, 236, 149]
96|[-20004, -750, 0]|[0, 0, -0]|[19, 236, 149]
97|[-19820, -750, 0]|[0, 0, -0]|[19, 236, 149]
98|[-19635, -750, 0]|[0, 0, -0]|[19, 236, 149]
99|[-19450, -750, 0]|[0, 0, -0]|[19, 236, 149]
100|[-19265, -750, 0]|[0, 0, -0]|[19, 236, 149]
101|[-19081, -750, 0]|[0, 0, -0]|[19, 236, 149]
